img_path,crop,date,view,fruit_idx,brix,weight,height,max_w,min_w,grade
DB/귤_황금향/20231124/t1/t1_000000.jpeg,tangerine,20231124,t1,000000,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t2/t2_000000.jpeg,tangerine,20231124,t2,000000,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/b1/b1_000000.jpeg,tangerine,20231124,b1,000000,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t1/t1_000001.jpeg,tangerine,20231124,t1,000001,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t2/t2_000001.jpeg,tangerine,20231124,t2,000001,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/b1/b1_000001.jpeg,tangerine,20231124,b1,000001,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t1/t1_000002.jpeg,tangerine,20231124,t1,000002,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t2/t2_000002.jpeg,tangerine,20231124,t2,000002,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/b1/b1_000002.jpeg,tangerine,20231124,b1,000002,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t1/t1_000003.jpeg,tangerine,20231124,t1,000003,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t2/t2_000003.jpeg,tangerine,20231124,t2,000003,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/b1/b1_000003.jpeg,tangerine,20231124,b1,000003,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t1/t1_000004.jpeg,tangerine,20231124,t1,000004,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t2/t2_000004.jpeg,tangerine,20231124,t2,000004,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/b1/b1_000004.jpeg,tangerine,20231124,b1,000004,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t1/t1_000005.jpeg,tangerine,20231124,t1,000005,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t2/t2_000005.jpeg,tangerine,20231124,t2,000005,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/b1/b1_000005.jpeg,tangerine,20231124,b1,000005,12.7,128.7,57.1,62.39,61.58,0
DB/귤_황금향/20231124/t1/t1_000006.jpeg,tangerine,20231124,t1,000006,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t2/t2_000006.jpeg,tangerine,20231124,t2,000006,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/b1/b1_000006.jpeg,tangerine,20231124,b1,000006,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t1/t1_000007.jpeg,tangerine,20231124,t1,000007,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t2/t2_000007.jpeg,tangerine,20231124,t2,000007,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/b1/b1_000007.jpeg,tangerine,20231124,b1,000007,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t1/t1_000008.jpeg,tangerine,20231124,t1,000008,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t2/t2_000008.jpeg,tangerine,20231124,t2,000008,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/b1/b1_000008.jpeg,tangerine,20231124,b1,000008,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t1/t1_000009.jpeg,tangerine,20231124,t1,000009,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t2/t2_000009.jpeg,tangerine,20231124,t2,000009,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/b1/b1_000009.jpeg,tangerine,20231124,b1,000009,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t1/t1_000010.jpeg,tangerine,20231124,t1,000010,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t2/t2_000010.jpeg,tangerine,20231124,t2,000010,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/b1/b1_000010.jpeg,tangerine,20231124,b1,000010,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t1/t1_000011.jpeg,tangerine,20231124,t1,000011,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/t2/t2_000011.jpeg,tangerine,20231124,t2,000011,12.1,149.9,59.7,66.91,66.34,1
DB/귤_황금향/20231124/b1/b1_000011.jpeg,tangerine,20231124,b1,000011,12.1,149.9,59.7,66.91,66.34,1
