img_path,crop,date,view,fruit_idx,brix,weight,height,max_w,min_w,grade
DB/peach_천중도/20230809/t1/t1_000000.jpeg,peach,20230809,t1,000000,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t2/t2_000000.jpeg,peach,20230809,t2,000000,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/b1/b1_000000.jpeg,peach,20230809,b1,000000,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t1/t1_000001.jpeg,peach,20230809,t1,000001,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t2/t2_000001.jpeg,peach,20230809,t2,000001,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/b1/b1_000001.jpeg,peach,20230809,b1,000001,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t1/t1_000002.jpeg,peach,20230809,t1,000002,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t2/t2_000002.jpeg,peach,20230809,t2,000002,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/b1/b1_000002.jpeg,peach,20230809,b1,000002,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t1/t1_000003.jpeg,peach,20230809,t1,000003,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t2/t2_000003.jpeg,peach,20230809,t2,000003,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/b1/b1_000003.jpeg,peach,20230809,b1,000003,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t1/t1_000004.jpeg,peach,20230809,t1,000004,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t2/t2_000004.jpeg,peach,20230809,t2,000004,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/b1/b1_000004.jpeg,peach,20230809,b1,000004,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t1/t1_000005.jpeg,peach,20230809,t1,000005,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t2/t2_000005.jpeg,peach,20230809,t2,000005,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/b1/b1_000005.jpeg,peach,20230809,b1,000005,12.6666666666667,368.1,77.0,93.6,84.1,0
DB/peach_천중도/20230809/t1/t1_000006.jpeg,peach,20230809,t1,000006,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t2/t2_000006.jpeg,peach,20230809,t2,000006,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/b1/b1_000006.jpeg,peach,20230809,b1,000006,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t1/t1_000007.jpeg,peach,20230809,t1,000007,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t2/t2_000007.jpeg,peach,20230809,t2,000007,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/b1/b1_000007.jpeg,peach,20230809,b1,000007,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t1/t1_000008.jpeg,peach,20230809,t1,000008,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t2/t2_000008.jpeg,peach,20230809,t2,000008,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/b1/b1_000008.jpeg,peach,20230809,b1,000008,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t1/t1_000009.jpeg,peach,20230809,t1,000009,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t2/t2_000009.jpeg,peach,20230809,t2,000009,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/b1/b1_000009.jpeg,peach,20230809,b1,000009,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t1/t1_000010.jpeg,peach,20230809,t1,000010,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t2/t2_000010.jpeg,peach,20230809,t2,000010,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/b1/b1_000010.jpeg,peach,20230809,b1,000010,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t1/t1_000011.jpeg,peach,20230809,t1,000011,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t2/t2_000011.jpeg,peach,20230809,t2,000011,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/b1/b1_000011.jpeg,peach,20230809,b1,000011,14.4333333333333,377.7,77.8,95.9,87.3,1
DB/peach_천중도/20230809/t1/t1_000012.jpeg,peach,20230809,t1,000012,15.0333333333333,377.8,81.6,92.8,87.5,1
DB/peach_천중도/20230809/t2/t2_000012.jpeg,peach,20230809,t2,000012,15.0333333333333,377.8,81.6,92.8,87.5,1
DB/peach_천중도/20230809/b1/b1_000012.jpeg,peach,20230809,b1,000012,15.0333333333333,377.8,81.6,92.8,87.5,1
DB/peach_천중도/20230809/t1/t1_000013.jpeg,peach,20230809,t1,000013,15.0333333333333,377.8,81.6,92.8,87.5,1
